stamp_sec,stamp_nanosec,elapsed_time_sec,x,y,theta_rad,theta_deg,cov_xx,cov_xy,cov_yy,cov_yawyaw
1776215717,749629294,18.523411,3.091031,4.141023,0.647591,37.104234,0.33646115,-0.16129827,0.32920847,0.18765922
1776215719,27103353,19.788712,3.341440,4.341685,0.620434,35.548252,0.37395865,-0.18222370,0.36549240,0.19755218
1776215720,415673102,21.178043,3.669818,4.535798,0.533763,30.582342,0.41551011,-0.20875399,0.43312154,0.19650624
1776215721,815060000,22.575471,3.989210,4.681842,0.518222,29.691946,0.42859177,-0.23032569,0.46516141,0.21167760
1776215723,203222752,23.978644,4.334150,4.822448,0.490928,28.128120,0.41253558,-0.24785660,0.45265398,0.22369954
1776215724,603079831,25.422405,4.647918,4.969225,0.534051,30.598848,0.45741698,-0.27888053,0.48666684,0.23068382
1776215725,868228809,26.650308,4.926915,5.134786,0.649621,37.220524,0.46388922,-0.30358237,0.55835204,0.22232394
1776215727,145550944,27.930844,5.244325,5.273354,0.613887,35.173133,0.50829491,-0.35438093,0.63967897,0.23593977
1776215728,410802829,29.180600,5.510432,5.479911,0.626368,35.888254,0.55913356,-0.38964787,0.69404804,0.22875670
1776215729,417967583,30.173872,5.773399,5.634787,0.829670,47.536614,0.57245974,-0.42219741,0.72088692,0.24403539
