stamp_sec,stamp_nanosec,elapsed_time_sec,x,y,theta_rad,theta_deg,cov_xx,cov_xy,cov_yy,cov_yawyaw
1776218603,462437672,8.224468,3.383897,4.487418,0.512650,29.372700,0.04943079,0.00464315,0.02700718,0.05318163
1776218604,604725872,9.473615,3.602085,4.626911,0.531751,30.467092,0.05224977,0.01072330,0.03081027,0.06887538
1776218605,734604700,10.476764,3.821679,4.752158,0.512454,29.361446,0.06300142,0.01286429,0.03694838,0.07782567
1776218606,876710624,11.623867,4.057067,4.885152,0.506556,29.023504,0.06730555,0.00881937,0.04861997,0.09311471
1776218608,6631895,12.855971,4.285898,5.019062,0.505164,28.943781,0.07940267,0.00204276,0.06590647,0.10946764
1776218609,148974299,13.932689,4.537070,5.165433,0.525508,30.109374,0.09217859,-0.00718458,0.08878950,0.11951594
1776218610,279170290,15.104372,4.795783,5.302327,0.519244,29.750466,0.11190993,-0.02234344,0.10652457,0.11879996
1776218611,421230104,16.232702,5.065339,5.428849,0.502442,28.787783,0.12241678,-0.03985454,0.12273640,0.12927037
1776218612,551201634,17.361066,5.306430,5.579037,0.548145,31.406390,0.14809652,-0.06411944,0.15511348,0.13567607
1776218613,693564204,18.426508,5.579431,5.718934,0.490027,28.076486,0.15375703,-0.07977040,0.18222063,0.14087376
1776218614,836146994,19.578675,5.873601,5.848880,0.465365,26.663452,0.15120766,-0.10181302,0.21100476,0.14125149
1776218616,223871264,21.043629,6.143061,6.015062,0.583296,33.420375,0.15835354,-0.11234580,0.21590680,0.14436436
