stamp_sec,stamp_nanosec,elapsed_time_sec,x,y,theta_rad,theta_deg,cov_xx,cov_xy,cov_yy,cov_yawyaw
1776218343,534524380,7.788237,3.043447,4.117741,0.635090,36.387955,0.12823590,-0.02613916,0.21543607,0.13048100
1776218344,800616624,9.021270,3.288942,4.325192,0.615665,35.275023,0.15771626,-0.04004532,0.23042018,0.14087700
1776218345,929412980,10.131601,3.539506,4.486181,0.551497,31.598457,0.17164050,-0.05391597,0.24925528,0.12393106
1776218347,71809457,11.275361,3.804083,4.645277,0.576137,33.010217,0.17102157,-0.03868714,0.25016092,0.12362427
1776218348,201626877,12.417375,4.042232,4.797049,0.557288,31.930246,0.16000107,-0.04362702,0.18829458,0.11510608
1776218349,344601127,13.514329,4.302800,4.923222,0.537140,30.775856,0.15419460,-0.02025862,0.21117610,0.12797251
1776218350,473938571,14.675507,4.558170,5.069765,0.613302,35.139614,0.16560812,-0.05121046,0.22555106,0.12031027
1776218351,739098322,15.980801,4.831666,5.271409,0.664070,38.048414,0.17411011,-0.05369163,0.22107509,0.12555134
1776218353,3772412,17.260923,5.058542,5.503330,0.639076,36.616378,0.19703437,-0.05436553,0.20899790,0.13883457
1776218354,269096422,18.463288,5.340989,5.689925,0.651834,37.347320,0.17354382,-0.09610461,0.21347676,0.15065179
1776218355,398898157,19.568149,5.577238,5.865930,0.595267,34.106261,0.18917949,-0.11735776,0.22916179,0.14257561
1776218356,541277727,20.719896,5.854284,6.013808,0.599330,34.339070,0.19754790,-0.14197541,0.26012818,0.14408702
